1257.3091 	EXP 	New trial (rep=26, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1257.3718 	EXP 	cue: autoDraw = False
1257.3718 	EXP 	stimulus: autoDraw = False
1257.3718 	EXP 	stimulus: image = u'+.png'
1257.4956 	EXP 	cue: autoDraw = True
1257.6207 	EXP 	cue: autoDraw = False
1259.1520 	EXP 	stimulus: autoDraw = True
1259.2771 	EXP 	stimulus: autoDraw = False
1261.7459 	EXP 	New trial (rep=26, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1261.9641 	EXP 	cue: autoDraw = False
1261.9641 	EXP 	stimulus: autoDraw = False
1261.9641 	EXP 	stimulus: image = u'x.png'
1261.9641 	EXP 	cue: autoDraw = True
1262.0575 	EXP 	cue: autoDraw = False
1263.5889 	EXP 	stimulus: autoDraw = True
1263.7141 	EXP 	stimulus: autoDraw = False
1263.9331 	DATA 	Keypress: tab
1266.1988 	EXP 	New trial (rep=27, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1266.4322 	EXP 	cue: autoDraw = False
1266.4322 	EXP 	stimulus: autoDraw = False
1266.4322 	EXP 	stimulus: image = u'x.png'
1266.4322 	EXP 	cue: autoDraw = True
1266.5261 	EXP 	cue: autoDraw = False
1268.0576 	EXP 	stimulus: autoDraw = True
1268.1825 	EXP 	stimulus: autoDraw = False
1268.4952 	DATA 	Keypress: tab
