257.5773 	EXP 	New trial (rep=24, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
257.8735 	EXP 	cue: autoDraw = False
257.8735 	EXP 	stimulus: autoDraw = False
257.8735 	EXP 	stimulus: image = u'x.png'
257.8735 	EXP 	cue: autoDraw = True
257.9051 	EXP 	cue: autoDraw = False
259.4364 	EXP 	stimulus: autoDraw = True
259.5610 	EXP 	stimulus: autoDraw = False
259.7176 	DATA 	Keypress: space
262.0159 	EXP 	New trial (rep=25, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
262.2190 	EXP 	cue: autoDraw = False
262.2190 	EXP 	stimulus: autoDraw = False
262.2190 	EXP 	stimulus: image = u'x.png'
262.2190 	EXP 	cue: autoDraw = True
262.3437 	EXP 	cue: autoDraw = False
263.8752 	EXP 	stimulus: autoDraw = True
264.0001 	EXP 	stimulus: autoDraw = False
264.3131 	DATA 	Keypress: space
266.4708 	EXP 	New trial (rep=25, index=1): {u'stimFile': u'+.png', u'corrAns': None}
266.5331 	EXP 	cue: autoDraw = False
266.5331 	EXP 	stimulus: autoDraw = False
266.5331 	EXP 	stimulus: image = u'+.png'
266.6569 	EXP 	cue: autoDraw = True
266.7819 	EXP 	cue: autoDraw = False
268.3292 	EXP 	stimulus: autoDraw = True
268.4542 	EXP 	stimulus: autoDraw = False
270.9159 	EXP 	New trial (rep=26, index=0): {u'stimFile': u'+.png', u'corrAns': None}
270.9617 	EXP 	cue: autoDraw = False
270.9617 	EXP 	stimulus: autoDraw = False
270.9617 	EXP 	stimulus: image = u'+.png'
271.1177 	EXP 	cue: autoDraw = True
271.2427 	EXP 	cue: autoDraw = False
272.7659 	EXP 	stimulus: autoDraw = True
272.8906 	EXP 	stimulus: autoDraw = False
275.3656 	EXP 	New trial (rep=26, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
275.6456 	EXP 	cue: autoDraw = False
275.6456 	EXP 	stimulus: autoDraw = False
275.6456 	EXP 	stimulus: image = u'x.png'
275.6456 	EXP 	cue: autoDraw = True
275.6765 	EXP 	cue: autoDraw = False
277.2174 	EXP 	stimulus: autoDraw = True
277.3425 	EXP 	stimulus: autoDraw = False
277.5303 	DATA 	Keypress: space
279.8129 	EXP 	New trial (rep=27, index=0): {u'stimFile': u'+.png', u'corrAns': None}
279.8752 	EXP 	cue: autoDraw = False
279.8752 	EXP 	stimulus: autoDraw = False
279.8752 	EXP 	stimulus: image = u'+.png'
279.9994 	EXP 	cue: autoDraw = True
280.1241 	EXP 	cue: autoDraw = False
281.6557 	EXP 	stimulus: autoDraw = True
281.7808 	EXP 	stimulus: autoDraw = False
284.2670 	EXP 	New trial (rep=27, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
284.5628 	EXP 	cue: autoDraw = False
284.5628 	EXP 	stimulus: autoDraw = False
284.5628 	EXP 	stimulus: image = u'x.png'
284.5628 	EXP 	cue: autoDraw = True
284.5935 	EXP 	cue: autoDraw = False
286.1255 	EXP 	stimulus: autoDraw = True
286.2502 	EXP 	stimulus: autoDraw = False
286.4381 	DATA 	Keypress: space
288.7204 	EXP 	New trial (rep=28, index=0): {u'stimFile': u'+.png', u'corrAns': None}
288.7831 	EXP 	cue: autoDraw = False
288.7831 	EXP 	stimulus: autoDraw = False
288.7831 	EXP 	stimulus: image = u'+.png'
288.9070 	EXP 	cue: autoDraw = True
289.0319 	EXP 	cue: autoDraw = False
290.5631 	EXP 	stimulus: autoDraw = True
290.6881 	EXP 	stimulus: autoDraw = False
293.1726 	EXP 	New trial (rep=28, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
293.4520 	EXP 	cue: autoDraw = False
293.4520 	EXP 	stimulus: autoDraw = False
293.4520 	EXP 	stimulus: image = u'x.png'
293.4520 	EXP 	cue: autoDraw = True
