1316.9863 	EXP 	stimulus: image = u'+.png'
1316.9863 	EXP 	cue: autoDraw = True
1317.1362 	EXP 	cue: autoDraw = False
1318.6522 	EXP 	stimulus: autoDraw = True
1318.7855 	EXP 	stimulus: autoDraw = False
1321.2686 	EXP 	New trial (rep=23, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1321.3512 	EXP 	cue: autoDraw = False
1321.3512 	EXP 	stimulus: autoDraw = False
1321.3512 	EXP 	stimulus: image = u'x.png'
1321.3512 	EXP 	cue: autoDraw = True
1321.4344 	EXP 	cue: autoDraw = False
1322.9504 	EXP 	stimulus: autoDraw = True
1323.0837 	EXP 	stimulus: autoDraw = False
1323.2838 	DATA 	Keypress: tab
1325.5669 	EXP 	New trial (rep=23, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1325.5826 	EXP 	cue: autoDraw = False
1325.5826 	EXP 	stimulus: autoDraw = False
1325.5826 	EXP 	stimulus: image = u'+.png'
1325.5826 	EXP 	cue: autoDraw = True
1325.7325 	EXP 	cue: autoDraw = False
1327.2486 	EXP 	stimulus: autoDraw = True
1327.3818 	EXP 	stimulus: autoDraw = False
1329.8650 	EXP 	New trial (rep=24, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1329.9470 	EXP 	cue: autoDraw = False
1329.9470 	EXP 	stimulus: autoDraw = False
1329.9470 	EXP 	stimulus: image = u'x.png'
1329.9470 	EXP 	cue: autoDraw = True
1330.0307 	EXP 	cue: autoDraw = False
1331.5466 	EXP 	stimulus: autoDraw = True
1331.6966 	EXP 	stimulus: autoDraw = False
1331.8801 	DATA 	Keypress: tab
1334.1633 	EXP 	New trial (rep=24, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1334.1789 	EXP 	cue: autoDraw = False
1334.1789 	EXP 	stimulus: autoDraw = False
1334.1789 	EXP 	stimulus: image = u'+.png'
1334.1789 	EXP 	cue: autoDraw = True
1334.3290 	EXP 	cue: autoDraw = False
1335.8449 	EXP 	stimulus: autoDraw = True
1335.9782 	EXP 	stimulus: autoDraw = False
1338.4614 	EXP 	New trial (rep=25, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1338.5474 	EXP 	cue: autoDraw = False
1338.5474 	EXP 	stimulus: autoDraw = False
1338.5474 	EXP 	stimulus: image = u'x.png'
1338.5474 	EXP 	cue: autoDraw = True
1338.6437 	EXP 	cue: autoDraw = False
1340.1430 	EXP 	stimulus: autoDraw = True
1340.2763 	EXP 	stimulus: autoDraw = False
1340.4764 	DATA 	Keypress: tab
1342.7596 	EXP 	New trial (rep=25, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1342.7752 	EXP 	cue: autoDraw = False
1342.7752 	EXP 	stimulus: autoDraw = False
1342.7752 	EXP 	stimulus: image = u'+.png'
1342.7752 	EXP 	cue: autoDraw = True
1342.9252 	EXP 	cue: autoDraw = False
1344.4412 	EXP 	stimulus: autoDraw = True
1344.5745 	EXP 	stimulus: autoDraw = False
1347.0575 	EXP 	New trial (rep=26, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1347.1369 	EXP 	cue: autoDraw = False
1347.1369 	EXP 	stimulus: autoDraw = False
1347.1369 	EXP 	stimulus: image = u'x.png'
1347.1369 	EXP 	cue: autoDraw = True
1347.2233 	EXP 	cue: autoDraw = False
1348.7560 	EXP 	stimulus: autoDraw = True
1348.8727 	EXP 	stimulus: autoDraw = False
1349.0394 	DATA 	Keypress: tab
1351.3559 	EXP 	New trial (rep=26, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1351.3716 	EXP 	cue: autoDraw = False
1351.3716 	EXP 	stimulus: autoDraw = False
1351.3716 	EXP 	stimulus: image = u'+.png'
1351.3716 	EXP 	cue: autoDraw = True
1351.5215 	EXP 	cue: autoDraw = False
1353.0209 	EXP 	stimulus: autoDraw = True
1353.1708 	EXP 	stimulus: autoDraw = False
